f0(wins #points)	f0(loses #points)	player strength	OSL name	OSL size	Image name
8.41666666667	4.41666666667	-5.0	kgs_wide 10 <= X <= 100, player Menglei (6d)	28.0	strength: 6d
3.5	0.0	-5.0	kgs_wide 10 <= X <= 100, player kisume (6d)	11.0	strength: 6d
8.41666666667	2.83333333333	-5.0	kgs_wide 10 <= X <= 100, player eastwisdom (6d), subsampled to max 50	33.0	strength: 6d
3.55	15.65	-5.0	kgs_wide 10 <= X <= 100, player Iwish (6d), subsampled to max 50	31.0	strength: 6d
0.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player Im (6d)	12.0	strength: 6d
1.25	8.25	-5.0	kgs_wide 10 <= X <= 100, player Seadog (6d)	21.0	strength: 6d
6.57692307692	5.53846153846	-5.0	kgs_wide 10 <= X <= 100, player shimamura (6d)	31.0	strength: 6d
0.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player go1d (6d)	12.0	strength: 6d
4.5	0.0	-5.0	kgs_wide 10 <= X <= 100, player wizardlich (6d)	13.0	strength: 6d
6.375	0.541666666667	-5.0	kgs_wide 10 <= X <= 100, player mi5103kann (6d)	39.0	strength: 6d
2.75	4.25	-5.0	kgs_wide 10 <= X <= 100, player softy (6d), subsampled to max 50	12.0	strength: 6d
6.5625	1.6875	-5.0	kgs_wide 10 <= X <= 100, player forgotten (6d)	36.0	strength: 6d
12.0	0.722222222222	-5.0	kgs_wide 10 <= X <= 100, player sjun (6d)	25.0	strength: 6d
0.125	8.625	-5.0	kgs_wide 10 <= X <= 100, player AndrewTao (6d)	23.0	strength: 6d
0.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player ben000 (6d)	13.0	strength: 6d
8.5	0.0	-5.0	kgs_wide 10 <= X <= 100, player j4 (6d)	14.0	strength: 6d
3.83333333333	19.4444444444	-5.0	kgs_wide 10 <= X <= 100, player boatlord (6d), subsampled to max 50	45.0	strength: 6d
0.0	12.0	-5.0	kgs_wide 10 <= X <= 100, player JKC (6d)	22.0	strength: 6d
7.73333333333	1.96666666667	-5.0	kgs_wide 10 <= X <= 100, player foxy (6d)	40.0	strength: 6d
8.83333333333	0.0	-5.0	kgs_wide 10 <= X <= 100, player roln111 (6d)	12.0	strength: 6d
8.5	2.11111111111	-5.0	kgs_wide 10 <= X <= 100, player ErgoProxy (6d)	25.0	strength: 6d
8.66666666667	2.5	-5.0	kgs_wide 10 <= X <= 100, player killerGo (6d)	15.0	strength: 6d
9.8125	0.3125	-5.0	kgs_wide 10 <= X <= 100, player koram (6d), subsampled to max 50	34.0	strength: 6d
8.28571428571	3.92857142857	-5.0	kgs_wide 10 <= X <= 100, player Neufx9 (6d)	42.0	strength: 6d
6.83333333333	0.0	-5.0	kgs_wide 10 <= X <= 100, player Cornel (6d)	14.0	strength: 6d
9.16666666667	0.0	-5.0	kgs_wide 10 <= X <= 100, player almost (6d)	16.0	strength: 6d
3.0	3.83333333333	-5.0	kgs_wide 10 <= X <= 100, player lwhite (6d)	14.0	strength: 6d
11.75	2.875	-5.0	kgs_wide 10 <= X <= 100, player Galle (6d)	43.0	strength: 6d
10.6666666667	2.94444444444	-5.0	kgs_wide 10 <= X <= 100, player loveHER (6d), subsampled to max 50	21.0	strength: 6d
4.1	4.8	-5.0	kgs_wide 10 <= X <= 100, player turc (6d)	42.0	strength: 6d
6.55	5.05	-5.0	kgs_wide 10 <= X <= 100, player itameshi (6d)	30.0	strength: 6d
8.8	4.9	-5.0	kgs_wide 10 <= X <= 100, player Dcugel (6d), subsampled to max 50	48.0	strength: 6d
2.34615384615	3.76923076923	-5.0	kgs_wide 10 <= X <= 100, player Lukan (6d), subsampled to max 50	33.0	strength: 6d
5.21875	2.96875	-5.0	kgs_wide 10 <= X <= 100, player shiryuu (6d), subsampled to max 50	39.0	strength: 6d
6.125	3.625	-5.0	kgs_wide 10 <= X <= 100, player Nighthawk (6d)	13.0	strength: 6d
5.375	3.75	-5.0	kgs_wide 10 <= X <= 100, player twoeye (6d)	41.0	strength: 6d
6.75	3.25	-5.0	kgs_wide 10 <= X <= 100, player benandiand (6d), subsampled to max 50	11.0	strength: 6d
4.91666666667	0.25	-5.0	kgs_wide 10 <= X <= 100, player ricubon (6d)	17.0	strength: 6d
4.20833333333	4.04166666667	-5.0	kgs_wide 10 <= X <= 100, player banana02 (6d)	24.0	strength: 6d
3.5	0.0	-5.0	kgs_wide 10 <= X <= 100, player TheQ (6d)	19.0	strength: 6d
6.55555555556	3.16666666667	-5.0	kgs_wide 10 <= X <= 100, player GodofGo (6d)	39.0	strength: 6d
5.64285714286	9.71428571429	-5.0	kgs_wide 10 <= X <= 100, player biped (6d)	43.0	strength: 6d
3.33333333333	11.5	-5.0	kgs_wide 10 <= X <= 100, player podo (6d)	19.0	strength: 6d
0.75	6.25	-5.0	kgs_wide 10 <= X <= 100, player donkeyO (6d)	13.0	strength: 6d
0.0	6.5	-5.0	kgs_wide 10 <= X <= 100, player okao (6d)	18.0	strength: 6d
0.0833333333333	12.25	-5.0	kgs_wide 10 <= X <= 100, player vitality (6d)	20.0	strength: 6d
3.85714285714	3.78571428571	-5.0	kgs_wide 10 <= X <= 100, player hazuki (6d)	15.0	strength: 6d
6.125	2.875	-5.0	kgs_wide 10 <= X <= 100, player banana5d (6d), subsampled to max 50	33.0	strength: 6d
5.14285714286	10.7857142857	-5.0	kgs_wide 10 <= X <= 100, player bloodarena (6d), subsampled to max 50	29.0	strength: 6d
2.0	2.75	-5.0	kgs_wide 10 <= X <= 100, player kst (6d)	28.0	strength: 6d
9.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player flyingpig (6d)	11.0	strength: 6d
7.35714285714	3.28571428571	-5.0	kgs_wide 10 <= X <= 100, player dhler (6d)	24.0	strength: 6d
0.0	28.0	-5.0	kgs_wide 10 <= X <= 100, player skillup (6d)	28.0	strength: 6d
2.41666666667	1.25	-5.0	kgs_wide 10 <= X <= 100, player qualic (6d)	26.0	strength: 6d
11.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player kaima16 (6d)	12.0	strength: 6d
11.75	5.91666666667	-5.0	kgs_wide 10 <= X <= 100, player zen19BS (6d), subsampled to max 50	23.0	strength: 6d
3.75	6.25	-5.0	kgs_wide 10 <= X <= 100, player ThunderGod (6d)	18.0	strength: 6d
0.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player efbdfei (6d)	17.0	strength: 6d
5.875	1.875	-5.0	kgs_wide 10 <= X <= 100, player guide2010 (6d)	20.0	strength: 6d
3.14285714286	0.357142857143	-5.0	kgs_wide 10 <= X <= 100, player kreutzer (6d)	34.0	strength: 6d
11.3333333333	5.83333333333	-5.0	kgs_wide 10 <= X <= 100, player jhuun (6d)	11.0	strength: 6d
7.78571428571	5.0	-5.0	kgs_wide 10 <= X <= 100, player mpepe16 (6d), subsampled to max 50	34.0	strength: 6d
24.5	0.0	-5.0	kgs_wide 10 <= X <= 100, player marumon (6d)	27.0	strength: 6d
8.33333333333	4.33333333333	-5.0	kgs_wide 10 <= X <= 100, player gaopo (6d), subsampled to max 50	50.0	strength: 6d
11.75	2.25	-5.0	kgs_wide 10 <= X <= 100, player Peace3Dan (6d)	14.0	strength: 6d
1.6875	7.8125	-5.0	kgs_wide 10 <= X <= 100, player RoyalCrown (6d), subsampled to max 50	45.0	strength: 6d
11.7857142857	5.42857142857	-5.0	kgs_wide 10 <= X <= 100, player RiverSheep (6d)	46.0	strength: 6d
11.8333333333	0.0	-5.0	kgs_wide 10 <= X <= 100, player pivot19 (6d)	24.0	strength: 6d
0.0	19.75	-5.0	kgs_wide 10 <= X <= 100, player Dino9 (6d)	21.0	strength: 6d
7.4	3.1	-5.0	kgs_wide 10 <= X <= 100, player BUM (6d)	34.0	strength: 6d
0.0	10.0	-5.0	kgs_wide 10 <= X <= 100, player Kachrge (6d)	13.0	strength: 6d
1.6	9.7	-5.0	kgs_wide 10 <= X <= 100, player kghin (6d), subsampled to max 50	11.0	strength: 6d
3.25	2.25	-5.0	kgs_wide 10 <= X <= 100, player fbp (6d), subsampled to max 50	14.0	strength: 6d
6.83333333333	6.0	-5.0	kgs_wide 10 <= X <= 100, player B2OBA (6d)	15.0	strength: 6d
8.08333333333	1.08333333333	-5.0	kgs_wide 10 <= X <= 100, player JohF (6d)	23.0	strength: 6d
5.75	3.25	-5.0	kgs_wide 10 <= X <= 100, player Laza (6d)	11.0	strength: 6d
4.25	0.0833333333333	-5.0	kgs_wide 10 <= X <= 100, player ohgushi (6d)	13.0	strength: 6d
3.125	5.70833333333	-5.0	kgs_wide 10 <= X <= 100, player guxxan (6d), subsampled to max 50	27.0	strength: 6d
2.16666666667	9.33333333333	-5.0	kgs_wide 10 <= X <= 100, player sizuha (6d)	17.0	strength: 6d
4.33333333333	6.83333333333	-5.0	kgs_wide 10 <= X <= 100, player Namii (6d), subsampled to max 50	17.0	strength: 6d
3.14285714286	2.71428571429	-5.0	kgs_wide 10 <= X <= 100, player sususu (6d), subsampled to max 50	38.0	strength: 6d
1.5	4.33333333333	-5.0	kgs_wide 10 <= X <= 100, player turk (6d), subsampled to max 50	18.0	strength: 6d
1.25	3.25	-5.0	kgs_wide 10 <= X <= 100, player takakaze2 (6d)	15.0	strength: 6d
12.5	2.0	-5.0	kgs_wide 10 <= X <= 100, player Krabicka (6d)	22.0	strength: 6d
20.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player penpen88 (6d)	17.0	strength: 6d
15.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player fun66 (5d)	10.0	strength: 5d
3.25	1.75	-4.0	kgs_wide 10 <= X <= 100, player imweak (5d)	15.0	strength: 5d
16.625	2.375	-4.0	kgs_wide 10 <= X <= 100, player cutlass70 (5d)	23.0	strength: 5d
0.0	0.0	-4.0	kgs_wide 10 <= X <= 100, player GoFun5D (5d)	14.0	strength: 5d
3.08333333333	10.25	-4.0	kgs_wide 10 <= X <= 100, player Kachrge (5d)	16.0	strength: 5d
2.1	6.8	-4.0	kgs_wide 10 <= X <= 100, player miao (5d), subsampled to max 50	32.0	strength: 5d
0.214285714286	13.0	-4.0	kgs_wide 10 <= X <= 100, player royu (5d)	44.0	strength: 5d
10.0	0.0	-4.0	kgs_wide 10 <= X <= 100, player ilovezoey (5d)	16.0	strength: 5d
1.95	4.75	-4.0	kgs_wide 10 <= X <= 100, player cugel20k (5d)	36.0	strength: 5d
2.66666666667	8.5	-4.0	kgs_wide 10 <= X <= 100, player HoneyGo (5d), subsampled to max 50	26.0	strength: 5d
0.5	11.0	-4.0	kgs_wide 10 <= X <= 100, player qwest (5d), subsampled to max 50	37.0	strength: 5d
4.0	3.16666666667	-4.0	kgs_wide 10 <= X <= 100, player phywkaren (5d)	11.0	strength: 5d
0.0	23.25	-4.0	kgs_wide 10 <= X <= 100, player RP999 (5d)	12.0	strength: 5d
0.0	3.5	-4.0	kgs_wide 10 <= X <= 100, player cugel24k (5d)	18.0	strength: 5d
21.0	0.0	-4.0	kgs_wide 10 <= X <= 100, player flyer (5d)	11.0	strength: 5d
1.5625	9.0625	-4.0	kgs_wide 10 <= X <= 100, player chayitui (5d), subsampled to max 50	22.0	strength: 5d
0.75	1.75	-4.0	kgs_wide 10 <= X <= 100, player Rocker (5d)	13.0	strength: 5d
4.42857142857	1.64285714286	-4.0	kgs_wide 10 <= X <= 100, player namita (5d)	16.0	strength: 5d
5.4375	4.3125	-4.0	kgs_wide 10 <= X <= 100, player joinyee (5d), subsampled to max 50	31.0	strength: 5d
4.08333333333	4.25	-4.0	kgs_wide 10 <= X <= 100, player toman118 (5d)	22.0	strength: 5d
12.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player myeric (5d), subsampled to max 50	20.0	strength: 5d
10.25	4.75	-4.0	kgs_wide 10 <= X <= 100, player howzulee (5d)	11.0	strength: 5d
8.42857142857	0.928571428571	-4.0	kgs_wide 10 <= X <= 100, player Tabemasu (5d), subsampled to max 50	35.0	strength: 5d
12.9090909091	1.95454545455	-4.0	kgs_wide 10 <= X <= 100, player marukome (5d), subsampled to max 50	28.0	strength: 5d
11.6	0.1	-4.0	kgs_wide 10 <= X <= 100, player leotao2588 (5d), subsampled to max 50	17.0	strength: 5d
0.75	1.25	-4.0	kgs_wide 10 <= X <= 100, player life (5d)	13.0	strength: 5d
0.0	0.0	-4.0	kgs_wide 10 <= X <= 100, player Wadjet (5d)	16.0	strength: 5d
18.4166666667	0.583333333333	-4.0	kgs_wide 10 <= X <= 100, player nd67 (5d)	13.0	strength: 5d
23.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player tszkong (5d)	16.0	strength: 5d
1.75	7.25	-4.0	kgs_wide 10 <= X <= 100, player RoyalCrown (5d)	25.0	strength: 5d
0.0	0.5	-4.0	kgs_wide 10 <= X <= 100, player Gay (5d), subsampled to max 50	15.0	strength: 5d
6.33333333333	8.16666666667	-4.0	kgs_wide 10 <= X <= 100, player ljj (5d)	31.0	strength: 5d
7.7	1.0	-4.0	kgs_wide 10 <= X <= 100, player NoTenkie (5d), subsampled to max 50	15.0	strength: 5d
8.3	19.6	-4.0	kgs_wide 10 <= X <= 100, player advisor (5d)	13.0	strength: 5d
12.15	0.75	-4.0	kgs_wide 10 <= X <= 100, player ume8 (5d)	32.0	strength: 5d
3.57142857143	1.21428571429	-4.0	kgs_wide 10 <= X <= 100, player mpepe16 (5d)	22.0	strength: 5d
8.33333333333	4.61111111111	-4.0	kgs_wide 10 <= X <= 100, player oneeyejack (5d)	47.0	strength: 5d
15.8333333333	6.5	-4.0	kgs_wide 10 <= X <= 100, player principia (5d)	35.0	strength: 5d
3.41666666667	24.9166666667	-4.0	kgs_wide 10 <= X <= 100, player Estryx (5d)	16.0	strength: 5d
17.0	2.5	-4.0	kgs_wide 10 <= X <= 100, player xiongmao (5d)	45.0	strength: 5d
7.5	11.5294117647	-4.0	kgs_wide 10 <= X <= 100, player singleCPU (5d), subsampled to max 50	49.0	strength: 5d
9.25	8.08333333333	-4.0	kgs_wide 10 <= X <= 100, player guxxan (5d), subsampled to max 50	39.0	strength: 5d
7.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player yollo (5d)	13.0	strength: 5d
12.1666666667	10.5	-4.0	kgs_wide 10 <= X <= 100, player kghin (5d), subsampled to max 50	33.0	strength: 5d
2.5	4.5	-4.0	kgs_wide 10 <= X <= 100, player Tiger5k (5d), subsampled to max 50	15.0	strength: 5d
0.0	4.5	-4.0	kgs_wide 10 <= X <= 100, player emre35 (5d), subsampled to max 50	15.0	strength: 5d
9.8	3.96666666667	-4.0	kgs_wide 10 <= X <= 100, player treeyee (5d)	47.0	strength: 5d
0.0	0.0	-4.0	kgs_wide 10 <= X <= 100, player LabelBlack (5d)	13.0	strength: 5d
7.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player yuki4 (5d)	16.0	strength: 5d
6.78571428571	9.28571428571	-4.0	kgs_wide 10 <= X <= 100, player newtonxu (5d)	24.0	strength: 5d
2.9	5.9	-4.0	kgs_wide 10 <= X <= 100, player Guinevere (5d)	39.0	strength: 5d
6.66666666667	3.0	-4.0	kgs_wide 10 <= X <= 100, player goLord (5d)	15.0	strength: 5d
15.2	0.9	-4.0	kgs_wide 10 <= X <= 100, player Krabicka (5d), subsampled to max 50	31.0	strength: 5d
5.72222222222	2.44444444444	-4.0	kgs_wide 10 <= X <= 100, player banana5d (5d)	26.0	strength: 5d
7.0	5.0	-4.0	kgs_wide 10 <= X <= 100, player cugel23k (5d)	16.0	strength: 5d
0.0	33.0	-4.0	kgs_wide 10 <= X <= 100, player BlackOmen1 (5d)	11.0	strength: 5d
7.54166666667	3.45833333333	-4.0	kgs_wide 10 <= X <= 100, player actgg (5d)	24.0	strength: 5d
0.0	0.0	-4.0	kgs_wide 10 <= X <= 100, player coolbabe (5d), subsampled to max 50	10.0	strength: 5d
4.78125	5.15625	-4.0	kgs_wide 10 <= X <= 100, player Namii (5d), subsampled to max 50	49.0	strength: 5d
8.75	0.0	-4.0	kgs_wide 10 <= X <= 100, player cuvaca (5d)	15.0	strength: 5d
14.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player nogame (5d)	11.0	strength: 5d
6.33333333333	4.83333333333	-4.0	kgs_wide 10 <= X <= 100, player kazta (5d)	19.0	strength: 5d
8.6	2.2	-4.0	kgs_wide 10 <= X <= 100, player lwhite (5d)	31.0	strength: 5d
28.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player eveliya (5d)	13.0	strength: 5d
10.25	8.15	-4.0	kgs_wide 10 <= X <= 100, player symanto (5d), subsampled to max 50	42.0	strength: 5d
4.4375	8.3125	-4.0	kgs_wide 10 <= X <= 100, player SOS (5d)	19.0	strength: 5d
0.0	6.5	-4.0	kgs_wide 10 <= X <= 100, player kudab (5d)	21.0	strength: 5d
3.40625	9.40625	-4.0	kgs_wide 10 <= X <= 100, player Lukan (5d), subsampled to max 50	39.0	strength: 5d
8.9375	6.5625	-4.0	kgs_wide 10 <= X <= 100, player FlashGoe (5d)	23.0	strength: 5d
2.0	1.5	-4.0	kgs_wide 10 <= X <= 100, player Kamyk (5d)	26.0	strength: 5d
16.3125	4.1875	-4.0	kgs_wide 10 <= X <= 100, player onewing (5d)	33.0	strength: 5d
8.125	5.375	-4.0	kgs_wide 10 <= X <= 100, player Am (5d)	31.0	strength: 5d
10.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player dimentio (5d)	23.0	strength: 5d
8.13636363636	4.09090909091	-4.0	kgs_wide 10 <= X <= 100, player Iwish (5d), subsampled to max 50	38.0	strength: 5d
4.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player danigabi (5d)	14.0	strength: 5d
8.125	2.625	-4.0	kgs_wide 10 <= X <= 100, player chivalric (5d)	29.0	strength: 5d
9.0	2.1	-4.0	kgs_wide 10 <= X <= 100, player x400 (5d)	41.0	strength: 5d
6.96666666667	4.13333333333	-4.0	kgs_wide 10 <= X <= 100, player suechan (5d), subsampled to max 50	32.0	strength: 5d
0.0	18.0	-4.0	kgs_wide 10 <= X <= 100, player Serpentin (5d)	12.0	strength: 5d
3.5	17.5	-4.0	kgs_wide 10 <= X <= 100, player advisors (5d)	16.0	strength: 5d
11.125	4.875	-4.0	kgs_wide 10 <= X <= 100, player ikatyuu (5d)	12.0	strength: 5d
8.07142857143	3.42857142857	-4.0	kgs_wide 10 <= X <= 100, player azteca7 (5d)	28.0	strength: 5d
0.666666666667	7.5	-4.0	kgs_wide 10 <= X <= 100, player sum (5d)	13.0	strength: 5d
12.25	6.25	-4.0	kgs_wide 10 <= X <= 100, player imajowa1 (5d)	26.0	strength: 5d
7.5	3.0	-4.0	kgs_wide 10 <= X <= 100, player takakaze (5d), subsampled to max 50	30.0	strength: 5d
0.166666666667	6.33333333333	-4.0	kgs_wide 10 <= X <= 100, player GengYang (5d)	17.0	strength: 5d
16.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player bit007 (5d)	23.0	strength: 5d
15.6	3.9	-4.0	kgs_wide 10 <= X <= 100, player Marek (5d), subsampled to max 50	24.0	strength: 5d
4.41666666667	8.75	-4.0	kgs_wide 10 <= X <= 100, player play4 (5d), subsampled to max 50	39.0	strength: 5d
18.6666666667	0.0	-4.0	kgs_wide 10 <= X <= 100, player Spass (5d)	23.0	strength: 5d
18.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player Laza (5d)	11.0	strength: 5d
7.66666666667	0.5	-4.0	kgs_wide 10 <= X <= 100, player ShidaMirai (5d)	13.0	strength: 5d
7.05555555556	1.11111111111	-4.0	kgs_wide 10 <= X <= 100, player junkjunk (5d)	21.0	strength: 5d
3.83333333333	10.6666666667	-4.0	kgs_wide 10 <= X <= 100, player michi2009 (5d), subsampled to max 50	19.0	strength: 5d
17.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player hikarunoko (5d)	11.0	strength: 5d
5.95	5.45	-4.0	kgs_wide 10 <= X <= 100, player taisan (5d)	23.0	strength: 5d
11.7222222222	3.22222222222	-4.0	kgs_wide 10 <= X <= 100, player hiami (5d)	23.0	strength: 5d
2.75	8.25	-4.0	kgs_wide 10 <= X <= 100, player BigTicket (5d)	15.0	strength: 5d
0.0	47.5	-4.0	kgs_wide 10 <= X <= 100, player Taxonomy (5d)	19.0	strength: 5d
3.4375	8.9375	-4.0	kgs_wide 10 <= X <= 100, player jer (5d)	28.0	strength: 5d
3.14285714286	6.5	-4.0	kgs_wide 10 <= X <= 100, player okao (5d)	29.0	strength: 5d
15.5	0.0	-4.0	kgs_wide 10 <= X <= 100, player pppppppp (5d)	12.0	strength: 5d
8.7	12.4	-4.0	kgs_wide 10 <= X <= 100, player butthead (5d)	12.0	strength: 5d
8.625	14.375	-4.0	kgs_wide 10 <= X <= 100, player wade (5d), subsampled to max 50	19.0	strength: 5d
6.75	0.75	-4.0	kgs_wide 10 <= X <= 100, player KGS3Dan (5d)	16.0	strength: 5d
8.25	13.0	-4.0	kgs_wide 10 <= X <= 100, player yz221 (5d), subsampled to max 50	13.0	strength: 5d
11.4166666667	0.583333333333	-4.0	kgs_wide 10 <= X <= 100, player SURARINBES (5d)	17.0	strength: 5d
0.0	15.25	-4.0	kgs_wide 10 <= X <= 100, player supertjc (5d)	19.0	strength: 5d
0.0	29.5	-4.0	kgs_wide 10 <= X <= 100, player soia (5d)	35.0	strength: 5d
5.90909090909	0.863636363636	-4.0	kgs_wide 10 <= X <= 100, player taeoh (5d)	23.0	strength: 5d
6.6	6.7	-4.0	kgs_wide 10 <= X <= 100, player Greenbudda (5d)	15.0	strength: 5d
0.0	0.0	-4.0	kgs_wide 10 <= X <= 100, player kamyku (5d)	13.0	strength: 5d
0.0	25.0	-4.0	kgs_wide 10 <= X <= 100, player DBlock (5d)	11.0	strength: 5d
1.25	13.75	-4.0	kgs_wide 10 <= X <= 100, player bimon (5d)	30.0	strength: 5d
0.0	16.5	-4.0	kgs_wide 10 <= X <= 100, player Badduck (5d)	12.0	strength: 5d
0.0	4.5	-4.0	kgs_wide 10 <= X <= 100, player Big2 (5d)	15.0	strength: 5d
7.75	4.75	-4.0	kgs_wide 10 <= X <= 100, player ssb1238 (5d)	17.0	strength: 5d
6.75925925926	8.81481481481	-4.0	kgs_wide 10 <= X <= 100, player golov1us (5d), subsampled to max 50	47.0	strength: 5d
9.16666666667	4.0	-4.0	kgs_wide 10 <= X <= 100, player Gewalt (5d)	31.0	strength: 5d
3.25	3.75	-4.0	kgs_wide 10 <= X <= 100, player rugrichrug (5d)	17.0	strength: 5d
10.2142857143	0.0	-3.0	kgs_wide 10 <= X <= 100, player ohenro88 (4d)	14.0	strength: 4d
12.1	11.2	-3.0	kgs_wide 10 <= X <= 100, player rodeo (4d)	14.0	strength: 4d
13.75	2.25	-3.0	kgs_wide 10 <= X <= 100, player chiuys (4d)	11.0	strength: 4d
9.0	8.5	-3.0	kgs_wide 10 <= X <= 100, player Mukti (4d)	30.0	strength: 4d
1.0	4.83333333333	-3.0	kgs_wide 10 <= X <= 100, player zeppel (4d)	15.0	strength: 4d
3.4	7.1	-3.0	kgs_wide 10 <= X <= 100, player kingdreams (4d)	22.0	strength: 4d
6.28571428571	13.5	-3.0	kgs_wide 10 <= X <= 100, player osh (4d)	32.0	strength: 4d
10.3333333333	0.833333333333	-3.0	kgs_wide 10 <= X <= 100, player WVoron (4d)	13.0	strength: 4d
6.22727272727	4.09090909091	-3.0	kgs_wide 10 <= X <= 100, player emre35 (4d)	45.0	strength: 4d
2.40909090909	6.90909090909	-3.0	kgs_wide 10 <= X <= 100, player Weishenme (4d)	21.0	strength: 4d
3.10526315789	6.28947368421	-3.0	kgs_wide 10 <= X <= 100, player Lukan (4d), subsampled to max 50	35.0	strength: 4d
