f0(bdist histogram: move <= 16, bdist <= 2)	f0(bdist histogram: move <= 16, bdist == 3)	f0(bdist histogram: move <= 16, bdist == 4)	f0(bdist histogram: move <= 16, bdist > 4)	f0(bdist histogram: 16 < move <= 64, bdist <= 2)	f0(bdist histogram: 16 < move <= 64, bdist == 3)	f0(bdist histogram: 16 < move <= 64, bdist == 4)	f0(bdist histogram: 16 < move <= 64, bdist > 4)	f0(bdist histogram: 64 < move <= 160, bdist <= 2)	f0(bdist histogram: 64 < move <= 160, bdist == 3)	f0(bdist histogram: 64 < move <= 160, bdist == 4)	f0(bdist histogram: 64 < move <= 160, bdist > 4)	f0(bdist histogram: move > 160, bdist <= 2)	f0(bdist histogram: move > 160, bdist == 3)	f0(bdist histogram: move > 160, bdist == 4)	f0(bdist histogram: move > 160, bdist > 4)	territory	orthodox	aggressiveness	thickness	OSL name	OSL size	Image name
0.4	3.26666666667	3.26666666667	1.06666666667	4.2	5.53333333333	4.73333333333	9.53333333333	12.9333333333	8.66666666667	5.93333333333	20.0	9.8	5.26666666667	3.86666666667	11.8	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 8	16.0	style_2: Miyazawa Goro
0.5	3.0	3.125	1.375	4.5625	5.4375	3.9375	9.5625	11.4375	6.6875	5.8125	17.0625	10.6875	3.5	3.0625	9.5	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 9	16.0	style_2: Miyazawa Goro
0.375	3.75	3.3125	0.5625	4.5625	6.0	5.3125	8.125	11.5625	6.875	5.1875	19.625	7.9375	2.6875	2.3125	7.875	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 10	16.0	style_2: Miyazawa Goro
0.5	3.375	3.375	0.75	5.0625	6.875	4.5625	7.5	9.75	8.0625	5.8125	23.1875	6.625	2.3125	1.875	9.0	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 11	16.0	style_2: Miyazawa Goro
0.625	4.5625	2.5625	0.25	5.0625	5.5625	4.5	8.875	10.5	6.6875	6.8125	22.375	13.125	3.3125	4.5625	12.1875	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 0	16.0	style_2: Gu Li
0.5625	4.6875	2.5	0.25	6.0	6.1875	4.625	7.1875	11.375	7.375	6.0625	23.1875	11.75	3.5	4.1875	12.3125	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 1	16.0	style_2: Gu Li
0.1875	4.9375	2.625	0.25	6.125	5.9375	4.75	7.1875	9.6875	6.9375	6.9375	21.875	13.625	3.8125	3.0625	11.25	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 2	16.0	style_2: Gu Li
0.375	4.75	2.25	0.625	5.4375	6.4375	4.9375	7.1875	10.6875	6.125	7.125	22.6875	7.125	2.25	2.375	9.3125	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 3	16.0	style_2: Gu Li
0.3125	5.25	2.1875	0.25	4.6875	7.0625	4.3125	7.9375	11.375	6.875	7.0	18.75	10.9375	3.875	2.6875	12.1875	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 4	16.0	style_2: Gu Li
0.4375	4.75	2.625	0.1875	3.5625	6.625	4.625	9.1875	10.0	6.5625	7.25	21.0	17.0	3.5	4.0625	12.75	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 5	16.0	style_2: Gu Li
0.125	5.125	2.4375	0.3125	4.625	6.125	5.25	8.0	11.625	6.3125	6.3125	22.5625	10.4375	2.4375	3.0	10.4375	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 6	16.0	style_2: Gu Li
0.1875	5.0625	2.4375	0.3125	5.875	6.75	4.0625	7.3125	9.125	7.4375	6.5625	21.5625	13.1875	4.125	4.0	13.25	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 7	16.0	style_2: Gu Li
0.375	4.75	2.5625	0.3125	5.9375	6.5	4.0	7.5625	11.0625	7.0	8.0625	21.0625	11.75	3.375	3.125	13.9375	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 8	16.0	style_2: Gu Li
0.5	4.5	2.5625	0.4375	5.1875	6.9375	5.0625	6.8125	11.0625	7.875	5.75	23.3125	15.1875	4.875	6.875	16.1875	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 9	16.0	style_2: Gu Li
0.5	4.125	2.875	0.5	5.875	6.9375	4.125	7.0625	11.0625	6.25	5.375	20.6875	10.5625	2.6875	2.625	9.5	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 10	16.0	style_2: Gu Li
0.375	4.625	2.375	0.625	4.0625	6.1875	3.875	9.875	15.4375	8.375	5.6875	18.375	13.1875	3.125	3.1875	15.0625	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 11	16.0	style_2: Gu Li
0.375	3.5	3.1875	0.9375	4.25	6.8125	5.5	7.4375	11.5625	6.75	6.9375	22.375	11.375	3.125	2.875	11.25	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 0	16.0	style_2: O Meien
0.3125	3.1875	3.6875	0.8125	4.125	5.9375	4.625	9.3125	11.9375	7.0	7.1875	18.4375	12.0625	4.0625	3.6875	13.75	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 1	16.0	style_2: O Meien
0.4375	4.125	2.75	0.6875	4.875	6.4375	4.5	8.1875	11.0	8.0	6.875	22.0625	15.375	4.875	3.75	13.125	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 2	16.0	style_2: O Meien
0.4375	3.3125	2.8125	1.4375	4.1875	5.6875	4.6875	9.4375	11.25	8.25	7.1875	21.3125	14.5625	3.1875	3.125	12.0625	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 3	16.0	style_2: O Meien
0.3125	3.3125	3.4375	0.9375	3.75	5.5	3.875	10.875	12.8125	8.125	7.125	18.0625	15.4375	3.6875	4.1875	17.5	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 4	16.0	style_2: O Meien
0.125	3.625	3.25	1.0	3.375	6.1875	4.5	9.9375	11.25	8.9375	6.4375	20.9375	13.5	3.0625	4.375	12.8125	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 5	16.0	style_2: O Meien
0.5	3.8125	3.0	0.6875	3.5625	6.6875	4.5625	9.1875	11.3125	7.5	6.25	21.0625	11.125	3.4375	3.3125	12.0	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 6	16.0	style_2: O Meien
0.625	3.4375	3.0	0.9375	3.8125	6.8125	4.6875	8.6875	11.625	6.9375	6.125	21.5	11.5625	3.25	3.1875	8.9375	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 7	16.0	style_2: O Meien
0.1875	3.4375	3.8125	0.5625	4.25	6.4375	4.875	8.4375	9.125	7.875	6.3125	23.25	12.0625	4.25	3.3125	10.875	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 8	16.0	style_2: O Meien
0.375	4.0625	3.0625	0.5	3.9375	5.4375	5.0	9.625	8.5	6.375	7.375	20.625	12.0625	2.5	2.9375	8.25	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 9	16.0	style_2: O Meien
0.3125	3.5	3.25	0.9375	4.3125	5.125	4.1875	10.375	12.0625	8.0625	6.5625	20.75	12.0625	3.125	3.875	13.625	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 10	16.0	style_2: O Meien
0.375	3.5	3.375	0.75	3.9375	6.0	4.75	9.3125	11.0625	6.25	6.5625	24.125	9.4375	3.625	4.3125	11.0625	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 11	16.0	style_2: O Meien
0.3125	4.4375	2.6875	0.5625	5.875	5.0625	5.5625	7.5	12.5625	7.9375	5.5625	17.9375	10.5	3.125	4.0	12.3125	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 0	16.0	style_2: Ma Xiaochun
0.5625	3.9375	2.9375	0.5625	5.3125	6.75	3.75	8.1875	11.5	7.9375	6.5625	18.625	11.25	2.6875	3.4375	12.0	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 1	16.0	style_2: Ma Xiaochun
0.8125	4.1875	2.3125	0.6875	3.8125	5.9375	5.75	8.5	14.4375	7.1875	6.5625	19.8125	12.4375	3.25	3.875	15.1875	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 2	16.0	style_2: Ma Xiaochun
0.5625	5.0	1.875	0.5625	6.75	6.3125	4.5625	6.375	10.875	8.125	6.9375	20.625	11.6875	1.8125	2.8125	12.8125	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 3	16.0	style_2: Ma Xiaochun
0.625	4.5625	2.5	0.3125	5.75	5.4375	4.8125	8.0	10.75	7.125	7.5	21.4375	8.125	2.3125	2.0	9.125	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 4	16.0	style_2: Ma Xiaochun
0.8125	5.0625	1.875	0.25	3.75	6.875	5.1875	8.1875	11.5625	6.5625	6.4375	22.375	9.875	3.25	2.9375	11.625	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 5	16.0	style_2: Ma Xiaochun
0.375	5.4375	2.0	0.1875	4.625	6.4375	5.125	7.8125	11.4375	7.4375	5.8125	22.5	10.3125	2.875	3.3125	11.6875	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 6	16.0	style_2: Ma Xiaochun
0.4375	4.375	3.0	0.1875	4.625	5.9375	5.0	8.4375	13.25	6.75	6.25	20.625	12.25	3.375	3.375	11.875	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 7	16.0	style_2: Ma Xiaochun
0.75	4.5625	2.25	0.4375	5.625	6.1875	5.125	7.0625	11.6875	7.625	7.125	21.0625	15.6875	4.0	3.8125	16.75	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 8	16.0	style_2: Ma Xiaochun
0.3125	4.6875	2.625	0.375	5.375	5.625	5.3125	7.6875	10.0625	6.3125	5.875	20.375	7.875	1.5	1.75	8.75	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 9	16.0	style_2: Ma Xiaochun
0.5	5.1875	2.1875	0.125	5.25	6.4375	4.4375	7.875	10.6875	6.9375	5.375	16.8125	7.25	2.5625	2.75	9.25	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 10	16.0	style_2: Ma Xiaochun
0.75	4.5	2.375	0.375	4.1875	7.1875	5.9375	6.6875	12.3125	6.375	6.0625	20.3125	12.875	2.6875	4.1875	12.75	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 11	16.0	style_2: Ma Xiaochun
0.25	4.5	2.875	0.375	3.6875	5.25	4.9375	10.125	10.75	5.375	6.5625	20.0	9.25	2.0	2.1875	8.75	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 0	16.0	style_2: Sakata Eio
0.375	4.0625	3.0	0.5625	3.625	6.125	5.8125	8.4375	12.375	7.4375	6.4375	20.8125	13.3125	4.25	3.5	13.5	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 1	16.0	style_2: Sakata Eio
0.3125	3.0	3.9375	0.75	4.5625	6.25	4.5	8.6875	11.375	8.3125	7.0625	20.3125	16.9375	4.0	6.0	16.3125	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 2	16.0	style_2: Sakata Eio
0.4375	3.6875	3.125	0.75	4.4375	7.25	4.125	8.1875	10.1875	5.875	6.0625	21.9375	9.4375	2.9375	2.75	9.25	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 3	16.0	style_2: Sakata Eio
0.1875	4.25	3.0	0.5625	4.25	5.8125	4.3125	9.625	9.3125	7.0	6.6875	16.9375	9.0625	2.5625	1.6875	7.125	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 4	16.0	style_2: Sakata Eio
0.5	3.875	3.25	0.375	5.0	6.3125	4.4375	8.25	12.1875	6.875	5.8125	19.8125	11.125	2.875	3.5625	12.125	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 5	16.0	style_2: Sakata Eio
0.125	3.8125	2.9375	1.125	4.8125	6.5625	4.9375	7.6875	12.8125	5.3125	7.0625	21.875	14.5	3.9375	5.25	14.0	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 6	16.0	style_2: Sakata Eio
0.0625	4.0	3.3125	0.625	2.8125	5.8125	5.1875	10.1875	13.5	6.875	5.6875	19.9375	10.5	2.375	3.5625	10.875	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 7	16.0	style_2: Sakata Eio
0.625	3.5625	3.4375	0.375	4.875	6.0	4.5	8.625	10.9375	7.1875	6.125	21.0625	15.4375	3.8125	3.5625	13.8125	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 8	16.0	style_2: Sakata Eio
0.0	3.8125	3.3125	0.875	4.375	6.625	5.1875	7.8125	12.75	6.9375	6.625	18.3125	11.3125	2.6875	3.25	10.8125	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 9	16.0	style_2: Sakata Eio
0.4375	4.8125	2.25	0.5	5.3125	5.9375	4.375	7.9375	10.25	5.75	5.25	20.3125	10.375	2.5	2.625	11.1875	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 10	16.0	style_2: Sakata Eio
0.3125	4.0625	3.25	0.375	4.3125	5.875	4.25	9.5625	11.25	7.375	7.1875	21.4375	13.5625	3.125	3.5	9.875	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 11	16.0	style_2: Sakata Eio
0.125	4.25	3.3125	0.3125	4.0	5.0	5.3125	9.6875	10.3125	8.375	6.0625	21.5625	15.3125	3.5625	4.5625	12.625	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 0	16.0	style_2: Yi Se-tol
0.4375	3.8125	2.875	0.875	5.6875	7.625	4.5625	6.125	11.5	6.6875	6.0625	18.25	8.3125	2.0625	2.875	12.375	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 1	16.0	style_2: Yi Se-tol
0.5625	4.8125	2.375	0.25	4.875	5.9375	4.625	8.5625	11.75	6.8125	7.3125	21.5625	9.3125	2.9375	2.25	7.25	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 2	16.0	style_2: Yi Se-tol
0.375	4.375	2.6875	0.5625	5.875	6.5625	3.875	7.6875	10.125	7.25	5.875	19.6875	8.3125	2.0625	2.1875	7.5	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 3	16.0	style_2: Yi Se-tol
0.5	4.875	2.25	0.375	6.375	5.875	3.875	7.875	11.4375	7.6875	6.25	21.1875	9.8125	2.125	3.625	10.4375	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 4	16.0	style_2: Yi Se-tol
0.3125	4.0625	3.25	0.375	4.0625	6.8125	5.0625	8.0625	12.1875	8.5	5.8125	17.1875	11.5625	2.6875	2.8125	8.8125	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 5	16.0	style_2: Yi Se-tol
0.4375	4.0625	3.25	0.25	4.375	6.375	4.75	8.5	10.0625	5.8125	6.625	22.6875	3.4375	1.8125	1.375	3.875	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 6	16.0	style_2: Yi Se-tol
0.375	4.1875	2.875	0.5625	4.3125	6.5625	4.9375	8.1875	11.75	7.5	5.875	17.625	10.5625	3.3125	2.3125	9.0625	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 7	16.0	style_2: Yi Se-tol
0.5	4.0	3.0625	0.4375	5.125	5.875	4.1875	8.8125	10.875	8.5625	6.125	19.875	11.6875	3.6875	2.25	11.4375	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 8	16.0	style_2: Yi Se-tol
0.4375	4.375	2.5625	0.625	4.75	6.0	5.0	8.25	13.25	8.125	5.9375	17.6875	8.8125	2.0	2.5	10.375	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 9	16.0	style_2: Yi Se-tol
0.6875	4.4375	2.4375	0.4375	4.25	6.0	5.1875	8.5625	10.5	5.9375	5.9375	19.1875	6.25	2.0	1.625	5.3125	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 10	16.0	style_2: Yi Se-tol
0.625	4.9375	2.25	0.1875	5.0625	6.3125	4.75	7.875	10.125	6.5	6.4375	17.1875	7.0625	2.1875	2.5625	7.0625	6.0	7.25	9.25	7.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Yi Se-tol, split 11	16.0	style_2: Yi Se-tol
